election_date,list,district_id,constituency_city,votes_count,oath_date,seniority,party_full,city_of_birth,date_of_birth,education,finished_school,occupation,voting_participation,name,party_short,additional_info,party_function,academic_degree,sejm_function,mandate_expiry_date
13-10-2019,Prawo i Sprawiedliwość,13,Kraków,29686,12-11-2019,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,Krzeszowice,04-01-1959,wyższe,"Społeczna Akademia Nauk w Łodzi, Wydział Zarządzania, Rachunkowośc i finanse w zarządzaniu - licencjat (2014)",parlamentarzysta,94.53,Adamczyk Andrzej,PiS,,,,,
13-10-2019,Sojusz Lewicy Demokratycznej,32,Katowice,12148,12-11-2019,brak,"Koalicyjny Klub Poselski Lewicy (Nowa Lewica, Razem)",Dąbrowa Górnicza,30-05-1974,wyższe,"Politechnika Śląska, Organizacja i Zarządzanie, Zarządzanie przedsiębiorstwem i marketing przemysłowy - magister inżynier (1999)Wyższa Szkoła Techniczna w Katowicach, Urbanistyka i planowanie przestrzenne, Urbanistyka i planowanie przestrzenne (2009) - studia podyplomowe",samorządowiec,99.64,Adamczyk Rafał,Lewica,,,,,
13-10-2019,Koalicja Obywatelska,25,Gdańsk,41795,12-11-2019,brak,"Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni",Elbląg,26-06-1961,średnie ogólne,VI LO Gdańsk (1980),dziennikarz,99.24,Adamowicz Piotr,KO,,,,,
13-10-2019,Sojusz Lewicy Demokratycznej,38,Piła,14438,12-11-2019,"poseł II kadencji, poseł III kadencji, poseł IV kadencji, poseł VI kadencji, poseł VII kadencji","Koalicyjny Klub Poselski Lewicy (Nowa Lewica, Razem)",Duszniki Wielkopolskie,19-01-1949,średnie zawodowe,"Państwowe Technikum Rolnicze, Rolnictwo - technik (1968)",rolnik,97.47,Ajchler Romuald,Lewica,,,,,
13-10-2019,Koalicja Obywatelska,38,Piła,6654,15-06-2021,poseł VIII kadencji,Poseł niezrzeszony,Szamotuły,21-11-1955,wyższe,"Akademia Rolnicza w Poznaniu, Wydział Rolniczy, Mechanizacja rolnictwa - magister inżynier (1981)",przedsiębiorca rolny,82.67,Ajchler Zbigniew,niez.,,,,,
13-10-2019,Prawo i Sprawiedliwość,24,Białystok,29829,12-11-2019,poseł VIII kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,Grajewo,30-06-1990,wyższe,"Uniwersytet w Białymstoku, Wydział Historyczno-Socjologiczny, Stosunki międzynarodowe - magister (2014)",parlamentarzysta,99.12,Andruszkiewicz Adam,PiS,,,,,
13-10-2019,Prawo i Sprawiedliwość,32,Katowice,21723,12-11-2019,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,Czeladź,17-09-1971,wyższe,"Uniwersytet Śląski w Katowicach, Wydział Nauk Społecznych, Politologia - magister (1996)Uniwersytet Śląski w Katowicach, Organizacja Pomocy Społecznej (1999) - studia podyplomoweAkademia WSB w Dąbrowie Górniczej, MBA (2018) - studia podyplomowe",politolog,99.79,Andzel Waldemar,PiS,wiceprzewodniczący klubu,wiceprzewodniczący,,,
13-10-2019,Koalicja Obywatelska,8,Zielona Góra,23870,12-11-2019,brak,"Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni",Ośno Lubuskie,07-04-1963,wyższe,"Akademia Rolnicza w Poznaniu, Wydział Ogrodniczy, Ogrodnictwo - magister inżynier (1987)University of Georgia, USA, Ogrodnictwo - Doctor of Philosophy (Ph.D.) (1995)",architekt krajobrazu,98.83,Aniśko Tomasz,KO,,,Doctor of Philosophy (Ph.D.),,
13-10-2019,Prawo i Sprawiedliwość,5,Toruń,76267,12-11-2019,"poseł VII kadencji, poseł VIII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,Czernikowo,11-02-1961,wyższe,"Akademia Techniczno-Rolnicza w Bydgoszczy, Wydział Rolniczy, Rolnictwo - magister inżynier (1985)",inżynier rolnictwa,97.64,Ardanowski Jan Krzysztof,PiS,,,,,
13-10-2019,Prawo i Sprawiedliwość,35,Olsztyn,17916,12-11-2019,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,Olsztyn,04-06-1968,wyższe,"Wyższa Szkoła Pedagogiczna, Wydział Humanistyczny, Politologia i nauki społeczne - magister (1999)Uniwersytet Warmińsko-Mazurski, Rachunkowość (2002) - studia podyplomoweCollegium Civitas pod patronatem Studiów Politycznych, Stosunki międzynarodowe i dyplomacja, Stosunki międzynarodowe i dyplomacja (2012) - studia podyplomowe",politolog,99.74,Arent Iwona,PiS,,,,,
13-10-2019,Prawo i Sprawiedliwość,8,Zielona Góra,36073,12-11-2019,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,Zielona Góra,27-09-1958,wyższe,"Uniwersytet Wrocławski, Wydział Prawa i Administracji, Prawo - magister (1984)",radca prawny,99.26,Ast Marek,PiS,członek prezydium klubu,członek prezydium,,,
13-10-2019,Koalicja Obywatelska,15,Tarnów,20120,12-11-2019,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji","Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni",Tarnów,01-09-1964,wyższe,"Wyższa Szkoła Pedagogiczna, Wydział Filologii Polskiej, Filologia polska - magister (1990)",dziennikarka,99.45,Augustyn Urszula,KO,,,,,
13-10-2019,Koalicja Obywatelska,26,Słupsk,9385,12-11-2019,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji","Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni",Sopot,31-10-1960,wyższe,"Uniwersytet Gdański, Wydział Ekonomiki Transportu - magister (1986)",ekonomista,99.02,Aziewicz Tadeusz,KO,,,,,
13-10-2019,Prawo i Sprawiedliwość,34,Elbląg,19293,12-11-2019,"poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,Ostróda,27-04-1953,wyższe,"Akademia Rolniczo-Techniczna, Wydział Rolny - inżynier (1984)Akademia Rolniczo-Techniczna, Pedagogika Oświaty Rolniczej - magister (1986)Wyższa Szkoła Pedagogiczna, Organizacja i Zarządzanie Oświatą (1994) - studia podyplomowe",parlamentarzysta,99.4,Babalski Zbigniew,PiS,,,,,
13-10-2019,Prawo i Sprawiedliwość,22,Krosno,13360,12-11-2019,"poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,Krosno,09-09-1969,wyższe,"Uniwersytet Wrocławski, Wydział Nauk Historycznych i Pedagogicznych, Historia - magister (2007)",historyk,99.33,Babinetz Piotr,PiS,,,,,
13-10-2019,Prawo i Sprawiedliwość,37,Konin,17338,12-11-2019,poseł VIII kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,Turek,11-01-1968,wyższe,"Uniwersytet im Adama Mickiewicza w Poznaniu, Wydział Nauk Politycznych i Dziennikarstwa, Politologia - magister (2011)",parlamentarzysta,99.45,Bartosik Ryszard,PiS,,,,,
13-10-2019,Polskie Stronnictwo Ludowe,19,Warszawa,30405,12-11-2019,brak,"Klub Parlamentarny Koalicja Polska - PSL, UED, Konserwatyści",Warszawa,22-10-1955,wyższe,"Uniwersytet Warszawski, Wydział Historyczny, Etnografia - magister (1980)Uniwersytet w Cambridge, Wielka Brytania, Antropologia Społeczna - Doctor of Philosophy (Ph.D.) (1984)",historyk,93.27,Bartoszewski Władysław Teofil,KP,,,Doctor of Philosophy (Ph.D.),,
